trial_uid,participant,cohort,trial_day,block,block_id,trial_in_block,start_bin_matlab,stop_bin_matlab,start_bin,stop_bin,n_bins_in_trial,angle_error_deg,success,time_to_target,path_efficiency,orth_changes,excluded,used_click
T11_d665_b7_t62,T11,main,665,7,T11/day_665/block_7,62,11595,11823,11594,11823,229,20.94781494140625,True,4.58,0.8934318423271179,1.0,False,True
T11_d665_b7_t63,T11,main,665,7,T11/day_665/block_7,63,11824,11974,11823,11974,151,18.599227905273438,True,3.02,0.8539347052574158,0.0,False,True
T11_d665_b7_t64,T11,main,665,7,T11/day_665/block_7,64,11975,12114,11974,12114,140,11.971479415893555,True,2.8,0.8639380931854248,0.0,False,True
T11_d665_b7_t65,T11,main,665,7,T11/day_665/block_7,65,12115,12306,12114,12306,192,18.788787841796875,True,3.84,0.8387041687965393,1.0,False,True
T11_d665_b7_t66,T11,main,665,7,T11/day_665/block_7,66,12307,12522,12306,12522,216,19.13987159729004,True,4.32,0.8172909021377563,0.0,False,True
T11_d665_b7_t67,T11,main,665,7,T11/day_665/block_7,67,12523,12753,12522,12753,231,34.477962493896484,True,4.62,0.8226208090782166,3.0,False,True
T11_d665_b7_t68,T11,main,665,7,T11/day_665/block_7,68,12754,12909,12753,12909,156,15.98740291595459,True,3.12,0.9144871830940247,1.0,False,True
T11_d665_b7_t69,T11,main,665,7,T11/day_665/block_7,69,12910,13186,12909,13186,277,19.362869262695312,True,5.54,0.8097835779190063,1.0,False,True
T11_d665_b7_t70,T11,main,665,7,T11/day_665/block_7,70,13187,13561,13186,13561,375,51.20328140258789,True,7.5,0.4762430191040039,4.0,False,True
T11_d665_b7_t71,T11,main,665,7,T11/day_665/block_7,71,13562,13713,13561,13713,152,24.873085021972656,True,3.04,0.8546983003616333,0.0,False,True
T11_d665_b7_t72,T11,main,665,7,T11/day_665/block_7,72,13714,14095,13713,14095,382,36.10417556762695,True,7.64,0.49258527159690857,5.0,False,True
T11_d665_b7_t73,T11,main,665,7,T11/day_665/block_7,73,14096,14331,14095,14331,236,19.24197769165039,True,4.72,0.8371363282203674,0.0,False,True
T11_d665_b7_t74,T11,main,665,7,T11/day_665/block_7,74,14332,14629,14331,14629,298,60.39968490600586,True,5.96,0.5308985710144043,5.0,False,True
T11_d665_b7_t75,T11,main,665,7,T11/day_665/block_7,75,14630,14772,14629,14772,143,16.653522491455078,True,2.86,0.8816812038421631,1.0,False,True
T11_d665_b7_t76,T11,main,665,7,T11/day_665/block_7,76,14773,15037,14772,15037,265,29.16873550415039,True,5.3,0.8834246397018433,5.0,False,True
T11_d665_b7_t77,T11,main,665,7,T11/day_665/block_7,77,15038,15157,15037,15157,120,12.830741882324219,True,2.4,0.9240543246269226,1.0,False,True
T11_d672_b19_t0,T11,main,672,19,T11/day_672/block_19,0,267,495,266,495,229,29.07953643798828,True,4.58,0.6171370148658752,2.0,False,True
T11_d672_b19_t1,T11,main,672,19,T11/day_672/block_19,1,496,611,495,611,116,33.71282958984375,True,2.32,0.857723593711853,0.0,False,True
T11_d672_b19_t2,T11,main,672,19,T11/day_672/block_19,2,612,748,611,748,137,36.54414367675781,True,2.74,0.7711546421051025,1.0,False,True
